id;name;user_id;neighbourhood;apart_type_id;price;minimum_nights
656520;Studio in Lavapies , Madrid;1375487;Embajadores;1;65;5
659887;Habitación amplia y comoda centro Madrid;3329487;Pacífico;2;29;14
663761;Habitacion con litera para 2 o 3;3352121;Casco Histórico de Vallecas;2;23;1
668753;Sunny bdm. One of Madrid best areas;3385307;Trafalgar;2;46;4
676566;Up to 4 people flat central Madrid;3317937;Pacífico;1;75;3
678413;LOVELY & BOHEMIAN IN MADRID HEART;3451933;Acacias;1;70;5
680784;Habitacion Madrid Centro MUY BIEN SITUADO!;3466426;Universidad;2;48;3
682889;Charming attic, center of Madrid;150072;Embajadores;1;90;3
683208;Elegant & Confortable apartment in the center;9228673;Lista;1;280;5
683969;I share my flat.Two bedroom.Women.;3487329;Puerta Bonita;1;20;1
684564;ROYAL PALACE, OPERA, PLAZA MAYOR, LATINA, SOL;1941314;Palacio;1;108;3
685152;house-hotel;3494012;Pinar del Rey;1;182;2
689099;Lujo a tu alcance;3357259;Costillares;2;40;1
691344;hab individual en madrid;655088;Delicias;2;20;2
691458;Habitación doble luminosa;655088;Delicias;2;37;2
692358;Amazing 11th floor with a/a for 8 people;3540348;Los Angeles;1;88;3
692855;LOVELY APT AT THE CENTER: LA LATINA;3544353;Palacio;1;75;3
694867;Tranquilo y cómodo apartamento en Madrid 5PAX;3540348;Los Angeles;1;70;3
695909;Madrid Central Modern Apartment;3021792;Universidad;1;141;2
696928;alquilo habitación;3569462;Lista;3;50;2
697858;Cosy double room Madrid;3571619;Bellas Vistas;2;35;1
704155;Apartment in the center of Madrid;3606346;Embajadores;1;9142;3
708275;"""Great Velazquez Apartment & Area""";2785251;El Viso;1;50;270
709208;Apartment in the heart of Madrid;3648882;Sol;1;69;2
710156;AIRPORT/IFEMA INDIVIDUAL BATHROOM;3654886;Alameda de Osuna;2;31;1
716292;Just in the centre: Malasaña/Chueca;3691303;Universidad;1;81;10
717313;Unique stylish near Royal Palace;3698406;Palacio;1;85;2
721377;40M2 LOFT GREAT FOR STUDENT 100M WF;3724500;Valverde;1;50;7
723088;LOVELY FLAT IN PLAZA DE CHUECA;2555202;Justicia;1;75;3
724700;2 APT CENTRO MADRID, TIRSO DE MOLINA;3746437;Embajadores;1;89;30
724901;Beautiful flat in Madrid Moncloa;3747503;Vallehermoso;1;150;365
727588;CENTRIC NEAR TO M30, 2 BEDROOMS;498646;San Diego;1;44;30
730347;APARTMENT FOR 6 PEOPLE LOCATED IN PLAZA MAYOR;3797913;Sol;1;140;2
730502;APARTMENT FOR 6 PEOPLE LOCATED IN THE CITYCENTRE;3797913;Palacio;1;79;1
730746;Beautiful flat in the center!;2425572;Universidad;1;130;3
733365;A place for your accommodation;3821608;Arapiles;2;27;2
734053;Independent room for students;3825783;Ibiza;2;50;30
738837;Agradable, funcional y luminoso (Tirso, La Latina);3771869;Embajadores;1;40;3
743650;Habitación en Lavapies;2236658;Embajadores;2;26;2
745459;Bonita habitación con doble cama;3591751;Acacias;2;35;1
745664;WIFI B&B , BATH, TWO BEDS, CENTER, AWESOME.;3591751;Acacias;2;35;2
747873;Stylish apartment in the city center;1625657;Universidad;1;69;1
748854;Host family in the center of Madrid;1888816;Acacias;2;18;5
749957;Estudio en el Paseo del Pintor Rosa;124972;Argüelles;1;40;7
750257;Holiday Estudio Madrid Center;130907;Universidad;1;75;5
751527;Gran apartamento Plaza de España (ref. VT-2053);3951702;Universidad;1;205;5
751530;Downtown Apartment.PLAZA MAYOR.Wifi.Cozy.Cleansed.;3898452;Sol;1;59;1
752424;2br Apartment La Latina / Rastro;216570;Embajadores;1;110;3
752515;WIFI. Big Bargain. Cosy. Charm. :);3438657;Embajadores;1;51;2
752883;ALQUILO HABITACIÓN MUY LUMINOSA. MÍNIMO 6 MESES;3960415;Puerta del Angel;2;45;200
754678;APARTMENT IN THE CENTRE OF MADRID.;3961468;Cortes;1;135;3
755535;SINGLE BED & VERY NICE GREEN ROOM.;2536524;Arcos;2;21;10
755587;Centro/Apartm/Plaza Mayor/Wifi/cozy;3898452;Palacio;1;59;3
756707;★THE GEM. Steps away from everywhere★;3983613;Sol;1;71;2
759575;Madrid center-Fuencarral pedestrian;690223;Justicia;1;91;3
760482;Dúplex-Penthouse Cuzco-Castellana Smart;4008643;Castillejos;1;163;2
761095;Compostela Suites Madrid Airport / 2BD;4012305;Rejas;1;85;1
761098;Compostela Suites Madrid Aeropuerto;4012305;Rejas;1;57;1
761159;DOWNTOWN-APARTMENT-PLAZA MAYOR-COZY-WIFI-PARKING.;4012290;Sol;1;59;3
761195;Compostela Suites Madrid Airport;4012305;Rejas;1;57;1
762701;Madrid Apartment Esparteros;378073;Sol;1;105;3
763214;ROYAL PALACE - THE OLD TOWN MADRID;4032439;Palacio;1;63;3
766160;Estudio en pleno centro de Madrid;4036376;Embajadores;1;55;1
768311;Precioso estudio y terraza en el corazón de Madrid;4053105;Palacio;1;59;3
769210;Amplia habitación 1 persona;2695144;Piovera;2;34;3
770883;BEAUTIFUL HOUSE CENTER MADRID WIFI;1528106;Embajadores;1;76;3
772646;Hermoso loft Puerta del Sol centro - María;3606346;Sol;1;9856;3
773608;Centric bright large room in Malasaña;2991925;Trafalgar;2;31;1
773990;Apartamento en Centro Madrid +WIFI;4083688;Embajadores;1;47;3
774008;PADDLE POOL ROOM LUXURY;4083766;Costillares;2;35;2
774356;single room in Malasaña, Madrid;3214130;Universidad;2;44;10
779960;Sunny loft close to museums and Atocha;4112877;Embajadores;1;73;3
780397;Nice flat in Madrid city centre;4068975;Palos de Moguer;1;149;3
781012;Single room in La Latina citycenter;4118311;Embajadores;2;35;2
783647;alquilo habitacion con baño;4132185;Costillares;2;22;1
785834;Great location in front of Park;124972;Casa de Campo;2;21;7
793618;Luxury home in an old Convent.;4180632;Palacio;1;203;1
793622;NEW BETWEEN GRAN VIA AND SOL (WIFI);4181071;Palacio;1;65;5
795877;Prime location 40 m PLaza MAYOR;4192385;Palacio;1;58;3
797030;Cosy flat with terrace near subway;4198169;Simancas;1;46;4
798091;Apartment in historic center Madrid;4203067;Palacio;1;90;3
804681;Habitacion cerca del aeropuerto Barajas;4235741;Timón;2;28;60
814586;Charmy Apartment Chueca's Square;4277536;Justicia;1;82;1
814647;Alojamiento en familia, Madrid;4159117;Salvador;2;30;90
814731;Apartamento vistas a la Catedral.;4280501;Embajadores;3;17;360
814870;Cozy room in Madrid - Atocha (3);4281126;Jerónimos;2;20;1
817184;wonderful apartment in the center.;4292037;Cortes;1;60;2
821860;Madirid Historical Center.Bathroom;4280501;Embajadores;2;59;1
828095;Your Room in Madrid;2333408;Salvador;2;32;2
831616;Charming Loft in Madrid center;4354906;Embajadores;1;65;5
832102;Apartment in Chamberi;4356259;Almagro;1;45;3
833871;Beautiful apartment in the center;4292037;Universidad;1;56;2
834562;NICE FAMILY APARTMENT 120SQ. METER;4365768;Timón;1;93;1
834675;El gusto por los nuevos encuentros;4190662;Numancia;2;26;2
837183;PENTHOUSE STUDIO APARTMENT MADRID CENTER;4310374;Universidad;1;125;1
838698;Big cozy room in Atocha (2);4281126;Pacífico;2;25;1
838712;Cozy room - Atocha (1);4281126;Pacífico;2;21;1
840561;Cute and cozy apartment;4279976;Ciudad Universitaria;1;114;7
842078;GRAN VIA chic & chill WIFI-A/C;4396676;Sol;1;66;90
844856;BEST LOCATION IN CENTRAL MADRID SOL-MAYOR;4410687;Palacio;1;10;90
846558;Clean room in the heart of Madrid;2489796;Sol;2;50;3
847273;Apartamento en Madrid ideal grupos;4424222;Marroquina;1;140;3
847724;YOUR CUTE PRIVATE ROOM & BATHROOM;1331093;Palacio;2;60;2
849939;Madrid´s La Latina Violet Room;4433597;Embajadores;2;24;1
851311;Apartamento en Malasaña;4424070;Universidad;1;65;4
853804;Lovely Apartment near Gran vía;4247556;Universidad;1;95;8
855155;flat in Madrid close to the center;4473761;Campamento;2;30;1
856669;PLAZA SANTA ANA;584351;Cortes;1;70;3
858563;Habitación zona céntrica vistas par;4493328;Costillares;3;76;1
859800;Madrid Plenilunio;4502639;Rejas;2;48;1
862462;BOHEMIAN APT MADRID OLD TOWN CENTRE;2456671;Palacio;1;51;1
862752;Room in central apartment, good breakfast included;4522970;Delicias;2;33;3
864488;\\\\\\\\\\\\\LAST MINUTE APRIL!!!!!!!/////////;3631892;Embajadores;1;47;2
867629;Habitación privada en plaza españa;2419618;Palacio;2;211;1
868776;APARTAMENTO DE DISEÑO NUEVO EN EL RASTRO;4312150;Embajadores;1;53;4
869674;Nice flat in Madrid City Center;4582755;Embajadores;1;101;2
871387;Designer Loft unbeatable location;4504807;Universidad;1;100;1
874029;B&B in a bright room, Madrid!+wiffi;4603165;Salvador;2;30;2
883527;Cozy apartment in Madrids best area;4677458;Goya;1;42;60
884856;Spacious flat w amazing sightseeing;4684397;Palacio;2;46;1
886019;3 BR sunny apartment Madrid Center;4697070;Gaztambide;1;105;4
888289;Flat Right in the Center, with Screen Projector & Netflix;4710774;Universidad;1;113;5
891946;Lovely attic in Malasaña WIFI;4739098;Justicia;1;80;2
892100;Madrid Rio;4740276;Comillas;1;63;1
892453;NICEStay_High Value(WhiteRoom)_WIFI;2783896;Lucero;2;14;3
893056;Cozy and Quiet Apartment in Madrid;4735460;Cortes;2;29;30
893142;Quiet and comfortable in the Center of Madrid;4735460;Cortes;2;29;30
893195;Cozy and Design Apartment;4735460;Recoletos;1;50;15
896209;Studio apartment Chamartin station;4777959;Castilla;1;50;2
896588;ALQUILO HABITACION;4781287;Lista;1;80;3
901897;YOUR CUTE APTO IN MADRID CENTER;1331093;Palacio;1;132;1
902946;LUMINOSO, ACOGEDOR EN PLENO CENTRO;4826927;Embajadores;1;51;10
903707;Center of Madrid;4831338;Embajadores;1;64;6
904741;Apartamento 2 céntrico Sol Madrid.;4839888;Sol;1;96;2
904769;Apartamento 1 céntrico Sol Madrid.;4839888;Sol;1;60;2
904775;Apartamento 3 céntrico Sol Madrid.;4839888;Palacio;1;98;2
