id;name;user_id
834675;El gusto por los nuevos encuentros;4190662
837183;PENTHOUSE STUDIO APARTMENT MADRID CENTER;4310374
838698;Big cozy room in Atocha (2);4281126
838712;Cozy room - Atocha (1);4281126
840561;Cute and cozy apartment;4279976
842078;GRAN VIA chic & chill WIFI-A/C;4396676
844856;BEST LOCATION IN CENTRAL MADRID SOL-MAYOR;4410687
846558;Clean room in the heart of Madrid;2489796
847273;Apartamento en Madrid ideal grupos;4424222
847724;YOUR CUTE PRIVATE ROOM & BATHROOM;1331093
849939;Madrid´s La Latina Violet Room;4433597
851311;Apartamento en Malasaña;4424070
853804;Lovely Apartment near Gran vía;4247556
855155;flat in Madrid close to the center;4473761
856669;PLAZA SANTA ANA;584351
858563;Habitación zona céntrica vistas par;4493328
859800;Madrid Plenilunio;4502639
862462;BOHEMIAN APT MADRID OLD TOWN CENTRE;2456671
862752;Room in central apartment, good breakfast included;4522970
864488;\\\\\\\\\\\\\LAST MINUTE APRIL!!!!!!!/////////;3631892
867629;Habitación privada en plaza españa;2419618
868776;APARTAMENTO DE DISEÑO NUEVO EN EL RASTRO;4312150
869674;Nice flat in Madrid City Center;4582755
871387;Designer Loft unbeatable location;4504807
874029;B&B in a bright room, Madrid!+wiffi;4603165
883527;Cozy apartment in Madrids best area;4677458
884856;Spacious flat w amazing sightseeing;4684397
886019;3 BR sunny apartment Madrid Center;4697070
888289;Flat Right in the Center, with Screen Projector & Netflix;4710774
891946;Lovely attic in Malasaña WIFI;4739098
892100;Madrid Rio;4740276
892453;NICEStay_High Value(WhiteRoom)_WIFI;2783896
893056;Cozy and Quiet Apartment in Madrid;4735460
893142;Quiet and comfortable in the Center of Madrid;4735460
893195;Cozy and Design Apartment;4735460
896209;Studio apartment Chamartin station;4777959
896588;ALQUILO HABITACION;4781287
901897;YOUR CUTE APTO IN MADRID CENTER;1331093
902946;LUMINOSO, ACOGEDOR EN PLENO CENTRO;4826927
903707;Center of Madrid;4831338
904741;Apartamento 2 céntrico Sol Madrid.;4839888
904769;Apartamento 1 céntrico Sol Madrid.;4839888
904775;Apartamento 3 céntrico Sol Madrid.;4839888
912617;Habitacion Reservada Madrid;4897332
913536;Bedroom with bathroom in Malasaña;4903694
914057;Hoy Puede Ser Un Gran Día!!;4905854
919430;ROOM IN MALASAÑA, IN CENTER OF MADRID;850654
922397;Estudio de diseño en el centro;4651429
923140;PENTHOUSE with Lovely Terrace;1574604
923645;MADRID CENTER RETIRO PARKING +WIFI;4967875
925250;CoV19 Free Chic & Sunny Apt. Historic District-Sol;4975799
925339;CENTER just WALK & ENJOY LastMinute;4977367
926653;MORATÍN - Cozy upscale apt museum mile AC;2864064
930032;Zonamuseos. Loft luminoso y alegre;5009131
933326;Agreeable flat with a centric location in Atocha;153695733
936157;Amazing apartment at Plaza Oriente;5052379
938410;Elegant apartment in the best area;9228673
938506;Deluxe 2 bedroom ap,up to 8 people;785052
940649;Spacious Apartment-Atocha-Prado;5084073
944555;NEW STUDIO MADRID CITY CENTER SOL;5114074
945003;HABITACIONES CÉNTRICAS EN MALASAÑA;850654
947169;Lovely apartment in Madrid, Puerta Cerrada Square;5132742
948963;Sun+Balcon+Light+Relax+Green24hWIFI;2783896
958020;SPRING SALES AT Madrid Malasaña;5211661
970485;Puerta Alcala-5.2sqf 4-6 Dec availa;5302455
970890;Madrid by day & by night;6363695
977261;habitación en el Centro de Madrid!;5347216
979312;Habitacion Madrid Centro (Chamberi);5360317
981016;Bright Spacious Family Apartment;534128
981368;Modern Quiet Studio Loft;534128
981369;Big and Nice apartment with 2 Bedroom& 2 Bathrooms;534128
983019;Room in pretty home Santa Rosa Street Madrid;5386601
983410;Santiago Bernabeu, best Madrid views, WI-Fi, ADSL;5389129
985160;LowCost&Confortable flat in SOL;4839698
989063;Preciosa casa equipada;3585435
1003602;Fabulous apartment Madrid center;1130651
1007532;APARTMENT 4PAX 2HB CENTRO GRAN VIA PUERTA DEL SOL;5542111
1018471;Room BB, wifi 15´cent +sanchinarro;5606144
1020785;Habitación amplia en centro Madrid;5618733
1026242;Great Room in Argüelles—Moncloa;5649948
1037715;Apartamento de lujo en pleno centro;5712665
1038867;ATTIC IN THE CALLE MAYOR;5719307
1039376;Cozy apartment near Madrid airport;5722524
1039454;CENTER OF MADRID WIFI+PARKING 5;4967875
1044902;Masía el Ferrajón;5751753
